USER           PID  PPID NAME                        ARGS                       
root           298     2 [kworker/R-kdmflush/254:11] [kworker/R-kdmflush/254:11]
root           309     2 [kworker/R-kdmflush/254:15] [kworker/R-kdmflush/254:15]
root           320     2 [kworker/R-kdmflush/254:19] [kworker/R-kdmflush/254:19]
root           331     2 [kworker/R-kdmflush/254:23] [kworker/R-kdmflush/254:23]
root           342     2 [kworker/R-kdmflush/254:27] [kworker/R-kdmflush/254:27]
root           350     2 [kworker/R-kdmflush/254:28] [kworker/R-kdmflush/254:28]
root           351     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           352     2 [kworker/R-kdmflush/254:29] [kworker/R-kdmflush/254:29]
root           353     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           354     2 [kworker/R-kdmflush/254:30] [kworker/R-kdmflush/254:30]
root           355     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           356     2 [kworker/R-kdmflush/254:31] [kworker/R-kdmflush/254:31]
root           357     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           358     2 [kworker/R-kdmflush/254:32] [kworker/R-kdmflush/254:32]
root           359     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           360     2 [kworker/R-kdmflush/254:33] [kworker/R-kdmflush/254:33]
root           361     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           362     2 [kworker/R-kdmflush/254:34] [kworker/R-kdmflush/254:34]
root           363     2 [kworker/R-kverityd]        [kworker/R-kverityd]
root           449     1 init                        init subcontext u:r:vendor_init:s0 17
root           451     1 ueventd                     ueventd
root           462     2 [kworker/6:3H-kblockd]      [kworker/6:3H-kblockd]
wifi           501     1 wpa_supplicant              wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:wpa_wlan0
root           504     2 [kworker/R-kdmflush/254:35] [kworker/R-kdmflush/254:35]
root           506     2 [kworker/R-kdmflush/254:37] [kworker/R-kdmflush/254:37]
root           508     2 [kworker/R-kdmflush/254:39] [kworker/R-kdmflush/254:39]
root           510     2 [kworker/R-kdmflush/254:41] [kworker/R-kdmflush/254:41]
root           511     2 [kworker/R-kdmflush/254:42] [kworker/R-kdmflush/254:42]
root           512     2 [kworker/R-kdmflush/254:43] [kworker/R-kdmflush/254:43]
root           513     2 [kworker/R-kdmflush/254:44] [kworker/R-kdmflush/254:44]
root           514     2 [kworker/R-kdmflush/254:45] [kworker/R-kdmflush/254:45]
root           515     2 [kworker/R-kdmflush/254:46] [kworker/R-kdmflush/254:46]
root           516     2 [kworker/R-kdmflush/254:47] [kworker/R-kdmflush/254:47]
root           517     2 [kworker/R-kdmflush/254:48] [kworker/R-kdmflush/254:48]
root           518     2 [kworker/R-kdmflush/254:49] [kworker/R-kdmflush/254:49]
root           522     2 [kworker/R-kdmflush/254:53] [kworker/R-kdmflush/254:53]
root           523     2 [kworker/R-kdmflush/254:54] [kworker/R-kdmflush/254:54]
root           525     2 [kworker/R-kdmflush/254:56] [kworker/R-kdmflush/254:56]
root           528     2 [kworker/R-kdmflush/254:59] [kworker/R-kdmflush/254:59]
root           530     2 [kworker/R-kdmflush/254:61] [kworker/R-kdmflush/254:61]
root           532     2 [kworker/R-kdmflush/254:63] [kworker/R-kdmflush/254:63]
root           534     2 [kworker/R-kdmflush/254:65] [kworker/R-kdmflush/254:65]
root           535     2 [kworker/R-kdmflush/254:66] [kworker/R-kdmflush/254:66]
root           537     2 [kworker/R-kdmflush/254:68] [kworker/R-kdmflush/254:68]
root           538     2 [kworker/R-kdmflush/254:69] [kworker/R-kdmflush/254:69]
root           539     2 [kworker/R-kdmflush/254:70] [kworker/R-kdmflush/254:70]
root           541     2 [kworker/R-kdmflush/254:72] [kworker/R-kdmflush/254:72]
root           546     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
root           547     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
root           548     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
root           549     2 [kworker/R-ext4-rsv-conversion] [kworker/R-ext4-rsv-conversion]
u0_a347        649  2016 com.android.packageinstaller com.android.packageinstaller
root           660     2 [krfcommd]                  [krfcommd]
root           661     2 [kworker/R-tls-strp]        [kworker/R-tls-strp]
prng_seeder    671     1 prng_seeder                 prng_seeder
root           688     2 [irq/92-arm-smmu-context-fault] [irq/92-arm-smmu-context-fault]
root           693     2 [zram_comp]                 [zram_comp]
u0_a306        696  2016 cn.nubia.neostore:provider_process cn.nubia.neostore:provider_process
root           774     2 [kworker/R-send_unfreeze_event] [kworker/R-send_unfreeze_event]
media          779     1 audioadsprpcd               audioadsprpcd audiopd adsp
root           793     2 [irq/234-wcd-usbss-sdam]    [irq/234-wcd-usbss-sdam]
root           800     2 [Surge kthread]             [Surge kthread]
root           802     2 [kworker/R-zlog_handle_service] [kworker/R-zlog_handle_service]
root           817     2 [kworker/R-bwmon_wq]        [kworker/R-bwmon_wq]
root           818     2 [irq/235-310b3400.qcom,bwmon-llcc-gold] [irq/235-310b3400.qcom,bwmon-llcc-gold]
root           819     2 [irq/235-310b7400.qcom,bwmon-llcc-prime] [irq/235-310b7400.qcom,bwmon-llcc-prime]
root           820     2 [irq/236-31091000.qcom,bwmon-ddr] [irq/236-31091000.qcom,bwmon-ddr]
root           821     2 [irq/237-pmic_pwrkey]       [irq/237-pmic_pwrkey]
root           824     2 [irq/238-pmic_resin]        [irq/238-pmic_resin]
root           846     2 [irq/239-qpt_data_irq]      [irq/239-qpt_data_irq]
root           857     2 [cdsprm-wq]                 [cdsprm-wq]
root           858     2 [kworker/R-cpucp_wq]        [kworker/R-cpucp_wq]
root           909     2 [irq/242-regulator-ocp]     [irq/242-regulator-ocp]
root           910     2 [irq/240-qpt_overflow_irq]  [irq/240-qpt_overflow_irq]
root           934     2 [kworker/R-cdsprm-wq-delay] [kworker/R-cdsprm-wq-delay]
root           945     2 [irq/243-regulator-alarm]   [irq/243-regulator-alarm]
root           959     2 [msm_perf:events_notify]    [msm_perf:events_notify]
root          1062     2 [irq/247-aw_haptic]         [irq/247-aw_haptic]
root          1108     2 [kworker/R-aw_haptic_vibrator_work_queue] [kworker/R-aw_haptic_vibrator_work_queue]
root          1117     2 [irq/249-bcl-lvl0]          [irq/249-bcl-lvl0]
root          1128     2 [kworker/R-memlat_wq]       [kworker/R-memlat_wq]
logd          1129     1 logd                        logd
lmkd          1130     1 lmkd                        lmkd
system        1131     1 servicemanager              servicemanager
root          1132     2 [irq/251-smp2p_2]           [irq/251-smp2p_2]
root          1133     2 [irq/254-smp2p_5]           [irq/254-smp2p_5]
root          1134     2 [spi4]                      [spi4]
root          1135     2 [irq/256-smp2p_1]           [irq/256-smp2p_1]
root          1136     2 [irq/257-smp2p_19]          [irq/257-smp2p_19]
root          1137     2 [irq/258-smp2p_22]          [irq/258-smp2p_22]
root          1138     2 [irq/248-pmh0104-temp-alarm] [irq/248-pmh0104-temp-alarm]
root          1139     2 [spi15]                     [spi15]
system        1141     1 vndservicemanager           vndservicemanager /dev/vndbinder
root          1143     2 [spi19]                     [spi19]
root          1146     2 [irq/255-aw9620x_irq]       [irq/255-aw9620x_irq]
root          1147     2 [kworker/R-mpcie_wq]        [kworker/R-mpcie_wq]
root          1149     2 [irq/309-int_global_int]    [irq/309-int_global_int]
root          1150     2 [khvcd]                     [khvcd]
root          1151     2 [irq/93-arm-smmu-context-fault] [irq/93-arm-smmu-context-fault]
root          1152     2 [hfi_core_dbg_client_listener] [hfi_core_dbg_client_listener]
root          1156     2 [irq/94-arm-smmu-context-fault] [irq/94-arm-smmu-context-fault]
root          1157     2 [irq/95-arm-smmu-context-fault] [irq/95-arm-smmu-context-fault]
root          1158     2 [kworker/R-zlog_test1_workqueue] [kworker/R-zlog_test1_workqueue]
root          1160     2 [kworker/R-zlog_test2_workqueue] [kworker/R-zlog_test2_workqueue]
root          1161     2 [kworker/R-zlog_test3_workqueue] [kworker/R-zlog_test3_workqueue]
root          1162     2 [kworker/R-zlog_test4_workqueue] [kworker/R-zlog_test4_workqueue]
root          1163     2 [kworker/R-zlog_test5_workqueue] [kworker/R-zlog_test5_workqueue]
system        1165     1 android.hardware.security.onekeymint-service-qti android.hardware.security.onekeymint-service-qti
system        1166     1 qseecomd                    qseecomd
root          1169     1 battery_record_daemon       battery_record_daemon normal
root          1170     2 [msm_hw_fence_soccp_listener] [msm_hw_fence_soccp_listener]
root          1173     2 [irq/324-generic-irq]       [irq/324-generic-irq]
root          1174     2 [kworker/R-cfg80211]        [kworker/R-cfg80211]
root          1175     2 [irq/325-aw22xxx]           [irq/325-aw22xxx]
root          1180     2 [irq/321-aw9620x_irq]       [irq/321-aw9620x_irq]
root          1181     1 vold                        vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
root          1185     2 [kworker/R-k_ipa_usb]       [kworker/R-k_ipa_usb]
